,0,1,2
0,0,,
1,1,,
2,2,,
3,3,,
4,4,,
5,5,,
6,6,,
7,7,,
8,8,,
9,9,,
10,10,,
11,11,,
12,12,,
13,13,,
14,14,,
15,15,,
16,16,,
17,17,,
18,18,,
19,19,,
20,20,,
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
101,101,,
102,102,,
103,103,,
104,104,,
105,105,,
106,106,,
107,107,,
108,108,,
109,109,,
110,110,,
111,111,,
112,112,,
113,113,,
114,114,,
115,115,,
116,116,,
117,117,,
118,118,,
119,119,,
120,120,,
121,121,,
122,122,,
123,123,,
124,124,,
125,125,,
126,126,,
127,127,,
128,128,,
129,129,,
130,130,,
131,131,,
132,132,,
133,133,,
134,134,,
135,135,,
136,136,,
137,137,,
138,138,,
139,139,,
140,140,,
141,141,,
142,142,,
143,143,,
144,144,,
145,145,,
146,146,,
147,147,,
148,148,,
149,149,,
150,150,,
151,151,,
152,152,,
153,153,,
154,154,,
155,155,,
156,156,,
157,157,,
158,158,,
159,159,,
160,160,,
161,156,149.0,
162,32,81.0,
163,155,144.0,
164,66,39.0,
165,43,143.0,
166,14,16.0,
167,20,51.0,
168,131,15.0,
169,56,18.0,
170,132,3.0,
171,143,44.0,
172,93,49.0,
173,6,139.0,
174,48,70.0,
175,95,115.0,
176,16,94.0,
177,159,147.0,
178,53,11.0,
179,76,102.0,
180,78,68.0,
181,14,12.0,
182,8,11.0,
183,138,151.0,
184,76,115.0,
185,130,7.0,
186,25,69.0,
187,48,71.0,
188,76,64.0,
189,14,68.0,
190,129,41.0,
191,100,29.0,
192,103,20.0,
193,11,68.0,
194,157,93.0,
195,1,39.0,
196,80,23.0,
197,139,68.0,
198,49,46.0,
199,40,29.0,
200,94,90.0,
201,60,88.0,
202,25,132.0,
203,102,108.0,
204,18,124.0,
205,129,131.0,
206,37,62.0,
207,32,144.0,
208,40,54.0,
209,124,110.0,
210,11,1.0,
211,80,85.0,
212,31,108.0,
213,135,139.0,
214,79,76.0,
215,56,16.0,
216,32,153.0,
217,131,39.0,
218,48,134.0,
219,66,3.0,
220,60,136.0,
221,117,72.0,
222,40,75.0,
223,132,150.0,
224,49,50.0,
225,157,125.0,
226,67,5.0,
227,100,58.0,
228,100,47.0,
229,97,5.0,
230,54,144.0,
231,10,140.0,
232,95,8.0,
233,29,137.0,
234,46,91.0,
235,44,83.0,
236,62,96.0,
237,56,13.0,
238,15,150.0,
239,140,34.0,
240,51,38.0,
241,2,60.0,
242,93,71.0,
243,135,124.0,
244,91,14.0,
245,113,141.0,
246,92,150.0,
247,47,61.0,
248,29,56.0,
249,83,131.0,
250,83,129.0,
251,151,30.0,
252,20,135.0,
253,44,135.0,
254,135,82.0,
255,130,15.0,
256,14,90.0,
257,62,74.0,
258,156,155.0,
259,44,156.0,
260,1,10.0,
261,68,131.0,
262,116,12.0,
263,18,28.0,
264,116,149.0,
265,10,12.0,
266,73,17.0,
267,84,117.0,
268,86,67.0,
269,136,79.0,
270,7,160.0,
271,9,92.0,
272,158,109.0,
273,148,39.0,
274,40,84.0,
275,146,26.0,
276,3,157.0,
277,52,153.0,
278,57,78.0,
279,2,123.0,
280,155,156.0,
281,150,69.0,
282,89,79.0,
283,36,34.0,
284,55,82.0,
285,45,108.0,
286,153,133.0,
287,76,82.0,
288,50,59.0,
289,92,124.0,
290,126,15.0,
291,92,46.0,
292,55,88.0,
293,49,91.0,
294,81,24.0,
295,70,57.0,
296,156,61.0,
297,61,4.0,
298,74,50.0,
299,138,12.0,
300,45,6.0,
301,67,10.0,
302,73,1.0,
303,142,105.0,
304,151,104.0,
305,133,83.0,
306,47,101.0,
307,98,2.0,
308,31,111.0,
309,132,9.0,
310,133,14.0,
311,53,110.0,
312,32,102.0,
313,112,83.0,
314,113,21.0,
315,34,122.0,
316,104,94.0,
317,27,73.0,
318,3,80.0,
319,20,61.0,
320,16,108.0,
321,125,75.0,
322,88,21.0,
323,122,70.0,
324,126,157.0,
325,104,100.0,
326,101,82.0,
327,39,45.0,
328,115,119.0,
329,41,9.0,
330,22,106.0,
331,69,91.0,
332,52,81.0,
333,8,83.0,
334,8,154.0,
335,82,152.0,
336,2,87.0,
337,106,159.0,
338,138,93.0,
339,4,138.0,
340,109,23.0,
341,87,93.0,
342,126,2.0,
343,118,91.0,
344,23,122.0,
345,129,125.0,
346,25,31.0,
347,86,159.0,
348,83,95.0,
349,40,159.0,
350,11,42.0,
351,13,52.0,
352,149,117.0,
353,52,11.0,
354,141,18.0,
355,44,143.0,
356,95,136.0,
357,56,36.0,
358,72,158.0,
359,34,84.0,
360,58,139.0,
361,48,73.0,
362,53,21.0,
363,32,66.0,
364,36,58.0,
365,16,92.0,
366,63,132.0,
367,131,29.0,
368,107,92.0,
369,134,60.0,
370,156,78.0,
371,118,16.0,
372,18,2.0,
373,151,9.0,
374,94,52.0,
375,77,88.0,
376,26,112.0,
377,149,132.0,
378,7,2.0,
379,41,127.0,
380,51,18.0,
381,101,110.0,
382,141,11.0,
383,23,37.0,
384,3,74.0,
385,66,91.0,
386,152,146.0,
387,33,22.0,
388,32,127.0,
389,67,141.0,
390,54,30.0,
391,0,33.0,
392,17,135.0,
393,153,11.0,
394,125,139.0,
395,158,99.0,
396,4,85.0,
397,125,121.0,
398,87,29.0,
399,44,78.0,
400,122,15.0,
401,36,155.0,
402,95,40.0,
403,11,92.0,
404,127,8.0,
405,109,24.0,
406,132,6.0,
407,57,131.0,
408,86,51.0,
409,132,85.0,
410,62,57.0,
411,66,99.0,
412,50,2.0,
413,65,134.0,
414,10,107.0,
415,46,127.0,
416,29,43.0,
417,96,160.0,
418,91,1.0,
419,16,134.0,
420,6,96.0,
421,15,79.0,
422,125,3.0,
423,42,50.0,
424,63,6.0,
425,20,51.0,
426,108,58.0,
427,139,73.0,
428,154,26.0,
429,32,97.0,
430,159,102.0,
431,8,69.0,
432,128,3.0,
433,141,7.0,
434,154,102.0,
435,86,54.0,
436,88,28.0,
437,48,18.0,
438,96,70.0,
439,44,126.0,
440,102,8.0,
441,56,133.0,
442,18,65.0,
443,111,85.0,
444,86,1.0,
445,62,23.0,
446,132,6.0,
447,156,24.0,
448,133,16.0,
449,15,13.0,
450,5,31.0,
451,107,83.0,
452,25,22.0,
453,122,68.0,
454,16,115.0,
455,21,99.0,
456,95,119.0,
457,77,129.0,
458,110,18.0,
459,43,85.0,
460,90,35.0,
461,55,19.0,
462,27,98.0,
463,11,151.0,
464,61,4.0,
465,137,143.0,
466,123,46.0,
467,146,19.0,
468,13,83.0,
469,153,38.0,
470,155,65.0,
471,89,88.0,
472,126,139.0,
473,14,43.0,
474,129,4.0,
475,158,44.0,
476,55,27.0,
477,84,62.0,
478,138,85.0,
479,144,45.0,
480,88,44.0,
481,30,144.0,
482,113,94.0,
483,66,14.0,
484,135,160.0,
485,115,19.0,
486,112,76.0,
487,93,96.0,
488,25,32.0,
489,10,112.0,
490,103,53.0,
491,112,17.0,
492,160,93.0,
493,140,61.0,
494,45,52.0,
495,63,93.0,
496,145,74.0,
497,61,128.0,
498,99,83.0,
499,81,46.0,
500,76,75.0,
501,131,91.0,
502,75,103.0,
503,49,85.0,
504,142,70.0,
505,129,86.0,
506,154,23.0,
507,95,16.0,
508,139,43.0,
509,112,14.0,
510,93,99.0,
511,76,100.0,
512,41,24.0,
513,55,38.0,
514,66,119.0,
515,125,137.0,
516,160,91.0,
517,159,152.0,
518,52,80.0,
519,151,153.0,
520,146,61.0,
521,71,128.0,
522,93,39.0,
523,143,0.0,
524,22,3.0,
525,79,142.0,
526,145,16.0,
527,126,151.0,
528,31,83.0,
529,142,157.0,
530,14,70.0,
531,43,37.0,
